pid,probe_serial,probe_name,eid,lab,pname,spike_sorting,spike_sorting_version,histology,record_length,channel_count,neuropixel_version,bwm,to_check,severity,notes,start_s,end_s,min_coverage,mean_coverage,n_signals,n_regions,span_um,error,simultaneous_n,base_score,selected_rank
3017e4dc-2150-43ad-9b08-b95b48ba8dfa,18194814141.0,probe00,781b35fd-e1f0-4d14-b2bb-95b7263082bb,cortexlab,probe00,alf/probe00/pykilosort,2.35.0,alf,3544.7586333333334,384,3B2,True,,,,22.915992975234985,122.91599297523499,1.0,1.0,5,7,3613.8150201691287,,2,12.987033515619997,26
70da415f-444d-4148-ade7-a1f58a16fcf8,18005111742.0,probe01,781b35fd-e1f0-4d14-b2bb-95b7263082bb,cortexlab,probe01,alf/probe01/pykilosort,2.35.0,alf,3544.7960333333335,384,3B2,True,,,,22.915992975234985,122.91599297523499,1.0,1.0,5,12,3888.8601157665726,,2,13.129672712493882,27
523f8301-4f56-4faf-ab33-a9ff11331118,18194822331.0,probe00,88224abb-5746-431f-9c17-17d7ef806e6a,mainenlab,probe00,alf/probe00/pykilosort,2.32.4,alf,4732.665666666667,384,3B2,True,,,,40.001433189958334,140.00143318995833,1.0,1.0,5,9,3503.9905821791244,,2,13.03767579240769,43
ae03524f-e493-4077-99b1-588244de9a98,18194822261.0,probe01,88224abb-5746-431f-9c17-17d7ef806e6a,mainenlab,probe01,alf/probe01/pykilosort,2.35.0,alf,4732.714466666666,384,3B2,True,,,,40.001433189958334,140.00143318995833,1.0,1.0,5,7,4081.3540645231947,,2,13.000672899035528,44
a4d9d9d5-6ea3-4234-aa28-e064e83626fa,18005121511.0,probe00,9fe512b8-92a8-4642-83b6-01158ab66c3c,danlab,probe00,alf/probe00/pykilosort,2.35.0,alf,4839.2356666666665,384,3B2,True,,,,40.00006666000263,140.00006666000263,1.0,1.0,5,8,3981.5877486249124,,2,13.02468552163201,22
a3ebc7f4-813a-4f06-a33e-9825c878f9c2,18005123432.0,probe01,9fe512b8-92a8-4642-83b6-01158ab66c3c,danlab,probe01,alf/probe01/pykilosort,pykilosort_ibl_1.2.0,alf,4839.2187,384,3B2,True,,,,40.00006666000263,140.00006666000263,1.0,1.0,5,6,3704.2204308059204,,2,12.96274780999971,23
0b8ea3ec-e75b-41a1-9442-64f5fbc11a5a,18194822261.0,probe00,a4a74102-2af5-45dc-9e41-ef7f5aed88be,mainenlab,probe00,alf/probe00/pykilosort,pykilosort_ibl_1.2.1,alf,3350.9718666666668,384,3B2,True,,,,70.00126654002815,170.00126654002815,1.0,1.0,5,9,4113.34049161992,,2,13.055452183811672,24
a5f2ec22-0ff3-4249-bd2f-6247c3990e53,18194822331.0,probe01,a4a74102-2af5-45dc-9e41-ef7f5aed88be,mainenlab,probe01,alf/probe01/pykilosort,pykilosort_ibl_1.2.1,alf,3350.9448,384,3B2,True,,,,70.00126654002815,170.00126654002815,1.0,1.0,5,7,4122.807296005963,,2,13.001882202354329,25
825ba9b8-ce03-49b7-b1a8-4d85ae2185af,18005111742.0,probe00,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,cortexlab,probe00,alf/probe00/pykilosort,2.35.0,alf,5344.1624,384,3B2,True,,,,23.466641426086426,123.46664142608643,1.0,1.0,5,7,3680.3502550708404,,2,12.988974529082778,34
50445b30-f4ef-4405-b014-1d792ddfed88,18194814141.0,probe01,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,cortexlab,probe01,alf/probe01/pykilosort,pykilosort_ibl_1.2.1,alf,5344.1412,384,3B2,True,,,,23.466641426086426,123.46664142608643,1.0,1.0,5,8,3845.2002548631976,,2,13.020706728110993,35
4836a465-c691-4852-a0b1-dcd2b1ce38a1,19454418442.0,probe00,caa5dddc-9290-4e27-9f5e-575ba3598614,steinmetzlab,probe00,alf/probe00/pykilosort,patched_pykilosort_1.4.3,alf,2169.8216,384,3B2,True,,,,10.133886605501175,110.13388660550117,1.0,1.0,5,10,3296.227237312379,,2,13.058537848428768,41
d0046384-16ea-4f69-bae9-165e8d0aeacf,19454418662.0,probe01,caa5dddc-9290-4e27-9f5e-575ba3598614,steinmetzlab,probe01,alf/probe01/pykilosort,2.35.0,alf,2169.6238,384,3B2,True,,,,10.133886605501175,110.13388660550117,1.0,1.0,5,8,3857.9100559759036,,2,13.021077507519909,42
dab512bd-a02d-4c1f-8dbc-9155a163efc0,18005121511.0,probe00,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,danlab,probe00,alf/probe00/pykilosort,pykilosort_ibl_1.2.0,alf,3668.9780333333333,384,3B2,True,,,,20.093124017119408,120.09312401711941,1.0,1.0,5,8,3700.456863685888,,2,13.016484170373896,12
ce99545f-c6a5-4d53-8b68-0ceb78bd942e,18005123432.0,probe01,d23a44ef-1402-4ed7-97f5-47e9a7a504d9,danlab,probe01,alf/probe01/pykilosort,pykilosort_ibl_1.2.0,alf,3668.9693333333335,384,3B2,True,,,,20.093124017119408,120.09312401711941,1.0,1.0,5,7,3547.819893963052,,2,12.985108258594407,13
ffb1b072-2de7-44a4-8115-5799b9866382,19108310162.0,probe00,d3a2b25e-46d3-4f0b-ade6-4e32255f4c35,mrsicflogellab,probe00,alf/probe00/pykilosort,2.35.0,alf,5813.6057,384,3B2,True,1.0,HIGH,,40.00046661999659,140.0004666199966,1.0,1.0,5,10,3649.121949181748,,2,13.068832745376143,20
0228bcfd-632e-49bd-acd4-c334cf9213e9,19108320031.0,probe01,d3a2b25e-46d3-4f0b-ade6-4e32255f4c35,mrsicflogellab,probe01,alf/probe01/pykilosort,2.35.0,alf,5813.527300223755,384,3B2,True,1.0,HIGH,,40.00046661999659,140.0004666199966,1.0,1.0,5,5,3115.095664662644,,2,12.918638364019236,21
ad315779-2b39-46c4-8348-b166e796fa7c,18194814141.0,probe00,dfbe628d-365b-461c-a07f-8b9911ba83aa,cortexlab,probe00,alf/probe00/pykilosort,2.35.0,alf,5362.3834,384,3B2,True,,,,20.031630367040634,120.03163036704063,1.0,1.0,5,8,3765.0318723750534,,2,13.018367998715526,10
df350b09-a420-42bb-9952-17862cbb9f1c,18005111742.0,probe01,dfbe628d-365b-461c-a07f-8b9911ba83aa,cortexlab,probe01,alf/probe01/pykilosort,2.35.0,alf,5362.4238,384,3B2,True,,,,20.031630367040634,120.03163036704063,1.0,1.0,5,6,3671.60196644462,,2,12.961796240826564,11
73ff4936-8cd3-4a75-a772-f563e67d249d,19051004302.0,probe00,ebe2efe3-e8a1-451a-8947-76ef42427cc9,angelakilab,probe00,alf/probe00/pykilosort,2.35.0,alf,4667.188533333333,384,3B2,True,1.0,HIGH,,20.03878415003419,120.03878415003419,1.0,1.0,5,4,3864.9223795569296,,2,12.913589768346768,14
ac088ddb-9e1e-49ae-b341-46a8445cf809,19051004222.0,probe01,ebe2efe3-e8a1-451a-8947-76ef42427cc9,angelakilab,probe01,alf/probe01/pykilosort,2.35.0,alf,4667.2144,384,3B2,True,,,,20.03878415003419,120.03878415003419,1.0,1.0,5,8,3713.141392406166,,2,13.016854212518504,15
f0c390da-d8e3-4b5f-8df7-bd2f153ed01b,19454418442.0,probe00,f56194bc-8215-4ae8-bc6a-89781ad8e050,steinmetzlab,probe00,alf/probe00/pykilosort,2.35.0,alf,5161.744366666667,384,3B2,True,1.0,HIGH,,10.2328100502491,110.2328100502491,1.0,1.0,5,7,3665.0469301224507,,2,12.988528089541473,37
18d316bf-d322-4c5c-814e-a58147f7bf5f,19051004341.0,probe01,f56194bc-8215-4ae8-bc6a-89781ad8e050,steinmetzlab,probe01,alf/probe01/pykilosort,2.35.0,alf,5161.755566666667,384,3B2,True,,,,10.2328100502491,110.2328100502491,1.0,1.0,5,6,3628.027149843286,,2,12.960525045109193,38
4ea45238-55b1-4d54-ba92-efa47feb9f57,,probe00,f819d499-8bf7-4da0-a431-15377a8319d5,cortexlab,probe00,alf/probe00/pykilosort,2.35.0,alf,4574.144912748344,384,3B2,True,,,,150.17538434267044,250.17538434267044,1.0,1.0,5,6,4064.4638022745385,,2,12.973257087301144,47
d4291925-ad00-47fe-baaf-3fdff0991e86,,probe01,f819d499-8bf7-4da0-a431-15377a8319d5,cortexlab,probe01,alf/probe01/pykilosort,2.35.0,alf,4574.145566666667,384,3B2,True,,,,150.17538434267044,250.17538434267044,1.0,1.0,5,8,3705.5771480297103,,2,13.016633542971126,48
