method,nmi_akella_ref,eta2,dwell_s
ae_anatomy_48,0.05762434698210975,0.09091232161174635,0.6309211050075632
ae_filterbank_48,0.04688553797513685,0.08680942483429421,0.4739336492890995
ae_masked_48,0.06735234194063745,0.09451727879279065,0.6060828680575963
ae_waveamp_48,0.056402621938129546,0.09151515512175275,0.3752358424150263
akella_ref,1.0,0.09250740106082905,0.8889064475347661
group_pca_pooled_48,0.1133655477096133,0.15495550602151537,1.15610799251537
group_pca_weighted_48,0.07267355188633795,0.1027433938673723,0.7168550873586845
group_wave+amp1_pooled,0.07106597524216796,0.10511410282935721,0.7194244604316546
