method,waveform,rms,psd
ae_anatomy_48,0.9646687339991331,0.798070065677166,0.7859000414609909
ae_filterbank_48,0.9861647225916386,0.055222958326339694,0.6546691358089447
ae_masked_48,0.960752671584487,0.768617108464241,0.760115273296833
ae_waveamp_48,1.0,0.7009903490543365,0.6769460290670395
group_pca_pooled_48,0.0001252560642946,0.6041654392850196,0.6410088610634191
