mask,method,r2_waveform,r2_rms,r2_psd
block3,depth_interp,0.6384224626235664,-0.6779403388500214,0.3711985715199262
block3,depth_interp_shrunk,0.6413809391669929,-0.2177677750587463,0.3219517017714679
block3,masked_ae,0.46905885078012943,0.08364538848400115,0.007129453122615804
random25,depth_interp,0.7767563369125128,-0.8363992273807526,0.7688372367992997
random25,depth_interp_shrunk,0.7751449625939131,-0.0898109525442123,0.7683092039078474
random25,masked_ae,0.7423159293830395,0.35293225944042206,0.5642633475363255
