model,params,epochs_run,train_min_per_fold,encode_s_per_100s
ae_anatomy_48,16437,50.0,19.5188440879186,0.0897057994989154
ae_depth_48,16197,50.0,28.321639307339986,
ae_filterbank_48,16407,26.0,25.248449369271597,0.3769783309980994
ae_global_48,71995,50.0,27.452969944477083,
ae_masked_48,16221,50.0,19.61956541140874,0.0823054369975579
ae_waveamp_48,16099,50.0,16.61039873758952,0.0599745854997308
